CHEMISTRY,GENERAL ORGANIC CHEMISTRY-I  (GOC),5,3,4,4,3,2,2,2,2,0,0,0,0,0,1,0,1,0,29,3.82
CHEMISTRY,GENERAL ORGANIC CHEMISTRY-II,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,2,0,2,11,1.45
CHEMISTRY,CHEMICAL KINETICS,6,3,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,30,3.95
CHEMISTRY,ELECTROCHEMISTRY,4,5,5,3,3,2,1,1,1,1,1,1,1,4,1,0,1,1,36,4.74
CHEMISTRY,SOLID STATE,1,0,1,2,1,0,1,1,1,1,1,1,1,1,1,0,1,1,16,2.11
CHEMISTRY,COLLIGATIVE PEROPERTIES,2,4,3,4,2,3,2,2,0,2,1,1,0,1,1,1,1,1,31,4.08
CHEMISTRY,SURFACE CHEMISTRY,0,1,0,2,1,0,1,1,0,0,0,1,1,0,2,2,1,0,13,1.71
CHEMISTRY,NUCLEAR CHEMISTRY,2,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1.45
CHEMISTRY,"TRANSITION ELEMENTS AND
COORDINATION CHEMISTRY",3,5,8,4,4,1,3,4,3,2,2,1,1,1,1,2,1,2,48,6.32
CHEMISTRY,METALLURGY,3,0,2,3,0,0,1,0,0,0,0,1,0,0,1,1,0,1,13,1.71
CHEMISTRY,D-BLOCK & F-BOLCK,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,2,0,0,10,1.32
CHEMISTRY,QUALITATIVE ANALYSIS,1,1,0,1,0,0,0,0,3,0,0,0,0,0,1,1,1,0,9,1.18
CHEMISTRY,PRACTICAL ORGANIC CHEMISTRY (POC),0,0,0,0,0,0,0,0,0,2,0,1,1,1,3,2,0,1,11,1.45
CHEMISTRY,HYDROCARBONS,2,2,3,3,4,2,3,0,0,1,2,0,0,1,0,3,1,1,28,3.68
CHEMISTRY,ALKYL HALIDES,0,0,2,3,1,0,1,1,0,0,0,0,1,1,1,0,5,2,18,2.37
CHEMISTRY,ALCOHOLS AND ETHERS (REACTION MECHANISM),0,1,2,1,1,1,0,0,0,0,1,3,0,1,1,0,0,0,12,1.58
CHEMISTRY,ALDEHYDES AND KETONES,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,6,0.79
CHEMISTRY,AROMATIC COMPOUND,2,2,1,2,4,3,2,1,1,1,2,2,0,1,1,0,1,2,28,3.68
CHEMISTRY,CARBOXYLIC ACID & THEIR DERIVATIVES,2,2,4,1,2,0,0,1,0,1,0,0,3,1,0,0,0,0,17,2.24
CHEMISTRY,AMINES,2,2,1,1,0,2,0,0,1,0,0,2,0,1,0,0,0,0,12,1.58
CHEMISTRY,"CARBOHYDRATES, AMINO ACIDS & POLYMERS",3,4,3,4,2,1,2,2,2,1,2,1,1,2,2,2,2,1,37,4.87
CHEMISTRY,STEREO CHEMISTRY,3,0,3,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,12,1.58
CHEMISTRY,ENVIRONMENTAL CHEMISTRY,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,5,0.66
MATHEMATICS,STRAIGHT LINE,4,5,4,3,2,2,1,1,1,1,2,2,2,2,1,1,1,1,18,2.42
MATHEMATICS,CIRCLE,1,2,4,4,2,1,1,2,1,1,1,1,1,1,2,2,0,1,16,2.15
MATHEMATICS,PARABOLA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,2,1,0,1,10,1.34
MATHEMATICS,ELLIPSE,2,0,1,1,1,0,1,1,0,1,0,2,1,1,1,0,1,1,9,1.21
MATHEMATICS,HYPERBOLA,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,3,0.4
MATHEMATICS,COMPLEX NUMBER,3,4,3,3,2,1,1,1,2,2,0,1,1,1,1,1,1,1,14,1.88
MATHEMATICS,BINOMIAL THEOREM,2,3,4,5,2,2,1,1,1,1,0,1,1,1,1,1,1,1,13,1.74
MATHEMATICS,SEQUENCE & SERIES,5,1,3,1,2,1,1,1,1,1,1,2,1,2,1,2,3,2,16,2.15
MATHEMATICS,PERMUTION & COMBINATION,0,2,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,13,1.74
MATHEMATICS,QUADRATIC EQUATION,2,3,3,3,1,1,1,1,0,0,2,0,1,2,1,1,0,1,11,1.48
MATHEMATICS,MATRIES & DETERMINANTS,1,3,3,4,2,3,3,2,3,2,3,2,2,2,2,2,2,2,28,3.76
MATHEMATICS,PROBABILITY,6,3,3,2,1,2,2,2,2,2,1,1,1,1,1,1,3,1,17,2.28
MATHEMATICS,MATHEMATICAL INDUCTION,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0.27
MATHEMATICS,MATHEMATICAL REASONING,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,13,1.74
MATHEMATICS,TRIGO. RATIO & IDENTITIES,5,0,2,1,2,0,0,1,2,1,0,1,1,0,0,1,2,1,9,1.21
MATHEMATICS,TRIGONOMETRIC EQUATION,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,3,0.4
MATHEMATICS,INVERSE TRIGONOMETRIC FUNCTION,2,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,0.4
MATHEMATICS,HEIGHT & DISTANCE,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0.27
MATHEMATICS,SETS & RELATION,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,10,1.34
